DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Copper,,Total,2.6,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Fluoride,,Dissolved,,,,Below Detection/Quantification Limit,0.1,mg/l,Method Detection Level,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Fluoride,,Dissolved,,,,Below Detection/Quantification Limit,0.1,mg/L,Method Detection Level,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Iron,,Dissolved,80,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Iron,,Total,141,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Lead,,Dissolved,,,,Below Detection/Quantification Limit,0.1,ug/L,Method Detection Level,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Lead,,Dissolved,,,,Below Detection/Quantification Limit,0.1,ug/l,Method Detection Level,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Lead,,Total,,,,Below Detection/Quantification Limit,0.1,ug/L,Method Detection Level,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Lead,,Total,,,,Below Detection/Quantification Limit,0.1,ug/l,Method Detection Level,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Lithium,,Dissolved,15.6,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Lithium,,Total,15.7,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Magnesium,,Dissolved,60.2,mg/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Manganese,,Dissolved,35.4,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Manganese,,Total,49.2,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Molybdenum,,Dissolved,0.5,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Molybdenum,,Total,0.7,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Nickel,,Dissolved,1,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Nickel,,Total,1,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Nitrate,as N,Dissolved,0.26,mg/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Nitrite,as N,Dissolved,,,,Below Detection/Quantification Limit,0.01,mg/L,Method Detection Level,,,,,,,,,Taiga,
