DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Mackenzie Hg in streamwater survey 2018-2020,Slave1,Slave River upstream of delta,61.447222,-113.6325,WGS84,,,,,River/Stream,Field Msr/Obs,Surface Water,2018-06-10,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,98.7,%,Actual,,0.1,%,Method Detection Level,,,,,,,,,,
Mackenzie Hg in streamwater survey 2018-2020,Slave1,Slave River upstream of delta,61.447222,-113.6325,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-10,,,,,,DH-95,Magnesium,,Dissolved,7.5,mg/L,Actual,,0.1,mg/L,Method Detection Level,,,SM 4110:B,APHA,SM 4110B,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave1,Slave River upstream of delta,61.447222,-113.6325,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-10,,,,,,DH-95,Mercury,,Dissolved,2.3,ng/L,Actual,,0.1,ng/L,Method Detection Level,,,1631:E,USEPA,1631E,,,,Trent University,
Mackenzie Hg in streamwater survey 2018-2020,Slave1,Slave River upstream of delta,61.447222,-113.6325,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-10,,,,,,DH-95,Organic carbon,,Dissolved,5.6,mg/L,Actual,,0.5,mg/L,Method Detection Level,,,SM 5310:B,APHA,SM 5310B,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave1,Slave River upstream of delta,61.447222,-113.6325,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-10,,,,,,DH-95,Organic carbon,,Total,5.6,mg/L,Actual,,0.5,mg/L,Method Detection Level,,,SM 5310:B,APHA,SM 5310B,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave1,Slave River upstream of delta,61.447222,-113.6325,WGS84,,,,,River/Stream,Field Msr/Obs,Surface Water,2018-06-10,,,,,,Probe/Sensor,pH,,,7.09,None,Actual,,,None,Method Detection Level,,,,,,,,,,
Mackenzie Hg in streamwater survey 2018-2020,Slave1,Slave River upstream of delta,61.447222,-113.6325,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-10,,,,,,DH-95,pH,,,8.08,None,Actual,,,None,Method Detection Level,,,SM 4500-H:B,APHA,SM 4500 H+B,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave1,Slave River upstream of delta,61.447222,-113.6325,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-10,,,,,,DH-95,Potassium,,Dissolved,1.1,mg/L,Actual,,0.1,mg/L,Method Detection Level,,,SM 4110:B,APHA,SM 4110B,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave1,Slave River upstream of delta,61.447222,-113.6325,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-10,,,,,,DH-95,Sodium,,Dissolved,5.4,mg/L,Actual,,0.1,mg/L,Method Detection Level,,,SM 4110:B,APHA,SM 4110B,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave1,Slave River upstream of delta,61.447222,-113.6325,WGS84,,,,,River/Stream,Field Msr/Obs,Surface Water,2018-06-10,,,,,,Probe/Sensor,Specific conductance,,,165.2,mS/cm,Actual,,0.1,mS/cm,Method Detection Level,,,,,,,,,,
